,TRUST,TRUST++ MV,TRUST++ tuned,boosting,MC,K_tuned
0,0.0319468800000001,0.0363923200000003,0.0361177600000002,0.0411532799999998,0.1036057600000015,0.0
1,0.0324908800000002,0.0326457600000002,0.0375302400000002,0.0448326400000001,0.1030528000000015,0.0
2,0.0228524800000001,0.0268428800000002,0.0278086400000001,0.0408447999999998,0.1037075200000016,0.0
3,0.0307238400000002,0.0328211200000002,0.0322969600000001,0.0426496,0.1040576000000014,0.0
4,0.0321152000000002,0.0308742400000001,0.0322566400000001,0.0402585599999999,0.1034892800000017,0.0
5,0.0304550400000001,0.0335225600000002,0.0359027200000001,0.0446656,0.1031776000000013,0.0
6,0.0315251200000001,0.0296620800000002,0.0277977600000001,0.04446208,0.1029043200000016,0.0
7,0.0333427200000002,0.0350668800000002,0.0365651200000001,0.0436633599999999,0.1034585600000012,0.0
8,0.0373990400000003,0.0329152000000002,0.0358630400000001,0.0454291200000001,0.1034515200000014,0.0
9,0.0315654400000002,0.0282668800000002,0.0299059200000002,0.0389356799999999,0.1035520000000016,0.0
10,0.0319174400000002,0.0338956800000001,0.0355046400000002,0.0412537599999999,0.1034131200000015,0.0
11,0.0306380800000002,0.0304403200000002,0.0335104000000002,0.0516595200000002,0.1033376000000015,0.0
12,0.0332582400000001,0.0309708800000003,0.0302566400000002,0.04088448,0.1040992000000013,0.0
13,0.0236140800000001,0.0293830400000001,0.0309990400000002,0.0385087999999999,0.1039942400000012,0.0
14,0.0328876800000002,0.0327116800000001,0.0310144000000001,0.0406444799999998,0.1034611200000015,0.0
15,0.0281011200000002,0.0320480000000003,0.0317619200000002,0.0399251199999998,0.1037024000000016,0.0
16,0.029897600000000142,0.03152128000000025,0.03313024000000028,0.044614400000000005,0.10351232000000166,35.0
17,0.029148800000000186,0.03277504000000025,0.03475136000000028,0.03864063999999993,0.10329344000000151,30.0
18,0.027038080000000197,0.031166720000000224,0.03439488000000022,0.03707903999999994,0.1031641600000014,35.0
19,0.028007680000000135,0.028986240000000225,0.03147904000000026,0.03991488000000003,0.10330432000000146,55.0
20,0.02902336000000016,0.029006720000000215,0.03394496000000016,0.038823679999999965,0.10371392000000153,25.0
21,0.03558784000000022,0.03384320000000016,0.03593792000000023,0.047753600000000125,0.10344064000000147,10.0
22,0.029690880000000256,0.029312000000000227,0.03251072000000025,0.04314815999999996,0.10348160000000144,45.0
23,0.03055936000000019,0.030131200000000254,0.032894720000000224,0.04236352,0.10332288000000152,35.0
24,0.02884736000000022,0.03363904000000022,0.03421184000000021,0.04106304000000006,0.10364416000000158,15.0
25,0.032950400000000234,0.03147776000000022,0.030849920000000156,0.040958719999999824,0.10364800000000145,20.0
26,0.027278080000000173,0.03303040000000028,0.03448512000000018,0.04431232000000015,0.10343168000000141,35.0
27,0.03168064000000022,0.031502720000000296,0.034816640000000246,0.04625344000000001,0.10345664000000143,40.0
28,0.03126400000000013,0.03350784000000025,0.035633280000000225,0.04267520000000013,0.10344512000000164,40.0
29,0.030492800000000157,0.03336640000000023,0.03177792000000022,0.04113023999999998,0.10355520000000155,55.0
