,Nflow
0,0.03481152000000001
1,0.042391040000000005
2,0.03639680000000003
3,0.03947776
4,0.046181759999999995
5,0.041753599999999995
6,0.03639680000000003
7,0.03947776
8,0.046181759999999995
9,0.041753599999999995
10,0.03639680000000003
11,0.03947776
12,0.046181759999999995
13,0.041753599999999995
14,0.03639680000000003
15,0.03947776
16,0.046181759999999995
17,0.041753599999999995
18,0.03639680000000003
19,0.03947776
20,0.046181759999999995
21,0.041753599999999995
22,0.03639680000000003
23,0.03947776
24,0.046181759999999995
25,0.041753599999999995
26,0.03639680000000003
27,0.03947776
28,0.046181759999999995
29,0.041753599999999995
