,Nflow
0,0.14775390625
1,0.11901171875000001
2,0.18294140625
3,0.11364453125
4,0.14365234375
5,0.1231171875
6,0.11992578125
7,0.11982031250000001
8,0.12375
9,0.11792187500000001
10,0.12885546875
11,0.12878125
12,0.12735937500000002
13,0.1526796875
14,0.122984375
15,0.12487890625
16,0.14117968749999998
17,0.13978125
18,0.10229296874999999
19,0.13042187500000002
20,0.11647656250000002
21,0.12699218750000002
22,0.1212578125
23,0.11758984375
24,0.12823828124999997
25,0.12205468750000001
26,0.1272578125
27,0.12330078124999999
28,0.12043359375000001
29,0.1512421875
