,Nflow
0,0.10051562500000003
1,0.10330859375000001
2,0.11238281250000003
3,0.10848437500000002
4,0.10794531250000002
5,0.1057734375
6,0.1173828125
7,0.12747265625
8,0.121265625
9,0.101359375
10,0.1103671875
11,0.10923828125000001
12,0.10970703125000003
13,0.11915234375
14,0.07917578125000002
15,0.1273671875
16,0.11397656250000002
17,0.10926171875000001
18,0.10482031250000001
19,0.0764453125
20,0.10709765625
21,0.09070312500000002
22,0.11273046875
23,0.11290234375000001
24,0.09650000000000002
25,0.11223828125
26,0.1108984375
27,0.10998828125000001
28,0.11008203125000002
29,0.10776953125000001
