,Nflow
0,0.03784499999999999
1,0.056559999999999964
2,0.03769500000000002
3,0.032409999999999994
4,0.030684999999999994
5,0.031445
6,0.036094999999999995
7,0.03193000000000001
8,0.03815500000000003
9,0.030415
10,0.03521500000000002
11,0.031670000000000004
12,0.03329500000000001
13,0.033810000000000014
14,0.032409999999999994
15,0.030684999999999994
16,0.031445
17,0.036094999999999995
18,0.03193000000000001
19,0.03815500000000003
20,0.030415
21,0.03521500000000002
22,0.031670000000000004
23,0.03329500000000001
24,0.033810000000000014
25,0.032409999999999994
26,0.030684999999999994
27,0.031445
28,0.036094999999999995
29,0.03193000000000001
