,Nflow
0,0.027429999999999996
1,0.025425000000000003
2,0.0255
3,0.02573500000000001
4,0.024979999999999992
5,0.035804999999999955
6,0.023114999999999997
7,0.02592000000000001
8,0.02550999999999999
9,0.02700999999999998
10,0.028029999999999985
11,0.025630000000000007
12,0.028619999999999982
13,0.02835500000000001
14,0.02452
15,0.03248999999999999
16,0.02857999999999999
17,0.02872999999999999
18,0.028630000000000013
19,0.028409999999999994
20,0.033929999999999974
21,0.025840000000000005
22,0.021960000000000007
23,0.020845
24,0.025739999999999996
25,0.027819999999999998
26,0.024979999999999992
27,0.035804999999999955
28,0.023114999999999997
29,0.02592000000000001
