,Nflow
0,0.017084999999999982
1,0.017525
2,0.017584999999999983
3,0.01893
4,0.01674499999999999
5,0.016379999999999992
6,0.01791999999999998
7,0.01745499999999998
8,0.017194999999999995
9,0.021514999999999968
10,0.016614999999999987
11,0.01669999999999999
12,0.024109999999999968
13,0.019439999999999985
14,0.016834999999999992
15,0.017404999999999983
16,0.027724999999999958
17,0.017924999999999996
18,0.017924999999999996
19,0.017924999999999996
20,0.017924999999999996
21,0.017924999999999996
22,0.017924999999999996
23,0.017924999999999996
24,0.017924999999999996
25,0.017924999999999996
26,0.017924999999999996
27,0.017924999999999996
28,0.017924999999999996
29,0.017924999999999996
