,TRUST,TRUST++ MV,TRUST++ tuned,boosting,MC,K_tuned
0,0.018774999999999976,0.014529999999999993,0.014399999999999982,0.015839999999999976,0.026985000000000002,60.0
1,0.01866499999999998,0.014924999999999992,0.014689999999999988,0.01759999999999997,0.024319999999999998,90.0
2,0.018784999999999982,0.015855000000000005,0.014019999999999984,0.017094999999999982,0.024964999999999973,75.0
3,0.018869999999999994,0.01580999999999998,0.014790000000000005,0.017864999999999964,0.02964000000000001,40.0
4,0.018794999999999965,0.01481499999999999,0.014369999999999994,0.020319999999999974,0.028964999999999998,80.0
5,0.017679999999999994,0.015399999999999995,0.014909999999999996,0.01611499999999998,0.027770000000000003,60.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
