,Nflow
0,0.02389333333333331
1,0.024986666666666654
2,0.023499999999999986
3,0.028513333333333304
4,0.02403999999999999
5,0.029413333333333333
6,0.023219999999999987
7,0.028466666666666657
8,0.04313333333333328
9,0.026653333333333334
10,0.025759999999999998
11,0.022966666666666663
12,0.02851999999999999
13,0.023453333333333316
14,0.038673333333333365
15,0.027033333333333343
16,0.028066666666666636
17,0.02831333333333331
18,0.03068666666666669
19,0.029299999999999986
20,0.025593333333333326
21,0.027700000000000006
22,0.02768
23,0.027873333333333316
24,0.0265
25,0.02811999999999999
26,0.02202666666666665
27,0.02715333333333335
28,0.027360000000000006
29,0.025780000000000004
