,TRUST,TRUST++ MV,TRUST++ tuned,boosting,MC,K_tuned
0,0.01141999999999998,0.012053333333333324,0.01075333333333332,0.010939999999999984,0.012646666666666645,10.0
1,0.017193333333333324,0.011440000000000004,0.010546666666666666,0.01124666666666666,0.01267999999999999,25.0
2,0.015126666666666682,0.012319999999999996,0.011246666666666653,0.011666666666666657,0.011079999999999987,20.0
3,0.011673333333333325,0.011586666666666657,0.010813333333333322,0.010853333333333319,0.012666666666666639,15.0
4,0.014093333333333312,0.012999999999999982,0.011766666666666653,0.012713333333333316,0.01284666666666664,10.0
5,0.013179999999999985,0.012153333333333327,0.011506666666666655,0.011566666666666645,0.01373999999999998,25.0
6,0.012673333333333318,0.013919999999999983,0.010519999999999991,0.011426666666666651,0.013239999999999983,10.0
7,0.01971999999999999,0.01126666666666665,0.011093333333333314,0.011973333333333322,0.011533333333333312,30.0
8,0.013313333333333318,0.011459999999999988,0.010573333333333323,0.012739999999999979,0.012406666666666656,30.0
9,0.012939999999999981,0.011119999999999998,0.010153333333333328,0.010906666666666648,0.014153333333333315,55.0
10,0.013359999999999985,0.014046666666666641,0.011359999999999981,0.013246666666666646,0.012706666666666656,15.0
11,0.012446666666666642,0.011333333333333313,0.010746666666666654,0.01280666666666665,0.012739999999999979,10.0
12,0.012646666666666662,0.012266666666666669,0.010699999999999998,0.010886666666666657,0.01428666666666663,20.0
13,0.014206666666666656,0.014473333333333314,0.012013333333333341,0.012433333333333327,0.012499999999999982,15.0
14,0.01113999999999999,0.01153999999999999,0.01035333333333332,0.01206666666666665,0.011679999999999982,10.0
15,0.012639999999999981,0.011959999999999983,0.010806666666666655,0.012013333333333315,0.012673333333333318,10.0
16,0.012559999999999981,0.01081999999999999,0.009846666666666665,0.010393333333333317,0.010699999999999977,40.0
17,0.013153333333333317,0.011106666666666654,0.009720000000000001,0.011233333333333316,0.012119999999999994,15.0
18,0.01627333333333331,0.01219999999999998,0.011446666666666659,0.012006666666666638,0.012266666666666643,55.0
19,0.012633333333333307,0.012099999999999988,0.011546666666666648,0.010806666666666636,0.010826666666666653,30.0
20,0.012319999999999975,0.012966666666666656,0.011153333333333324,0.012993333333333301,0.012373333333333321,10.0
21,0.016626666666666647,0.01237333333333332,0.010573333333333329,0.01077333333333331,0.012779999999999979,10.0
22,0.013126666666666655,0.011039999999999989,0.010279999999999992,0.010173333333333317,0.01403333333333331,30.0
23,0.013459999999999986,0.010966666666666663,0.010306666666666657,0.011706666666666638,0.013299999999999977,80.0
24,0.011899999999999997,0.011746666666666652,0.010406666666666654,0.010853333333333316,0.010993333333333327,10.0
25,0.010873333333333325,0.011479999999999983,0.010799999999999999,0.010766666666666652,0.01244666666666665,35.0
26,0.013039999999999986,0.011893333333333334,0.010126666666666662,0.01165333333333332,0.013293333333333317,20.0
27,0.012913333333333324,0.01178666666666665,0.009853333333333327,0.012346666666666657,0.01127333333333332,15.0
28,0.0140133333333333,0.012553333333333312,0.011279999999999981,0.013073333333333308,0.011859999999999985,15.0
29,0.013559999999999992,0.010926666666666656,0.009813333333333325,0.011179999999999968,0.012366666666666646,10.0
