,Nflow
0,0.023586666666666638
1,0.0245133333333333
2,0.02763333333333331
3,0.023886666666666643
4,0.0244733333333333
5,0.030213333333333293
6,0.026886666666666635
7,0.029666666666666626
8,0.02529333333333331
9,0.027066666666666635
10,0.027393333333333304
11,0.026933333333333306
12,0.02924666666666663
13,0.02662666666666664
14,0.028186666666666634
15,0.019993333333333318
16,0.02581999999999997
17,0.022713333333333304
18,0.023593333333333306
19,0.02620666666666664
20,0.02905333333333329
21,0.0288733333333333
22,0.029253333333333298
23,0.031013333333333292
24,0.02843333333333329
25,0.027793333333333302
26,0.027166666666666627
27,0.026953333333333305
28,0.024939999999999973
29,0.025093333333333304
