,methods,N,B,MAE,se,K_tuned
83,LR,50,5000,0.1018504000000003,2.980642400557199e-05,0.0
84,LOCART,50,10000,0.0063696,6.501171324861453e-05,0.0
85,LOFOREST,50,10000,0.0091652,7.422391208444916e-05,0.0
86,tuned LOFOREST,50,10000,0.0063696,3.961250711580874e-05,0.0
87,boosting,50,10000,0.0083824,0.0001540601378683,0.0
88,monte-carlo,50,10000,0.0099204,0.0001448002116064,0.0
89,LR,50,10000,0.1019100000000004,3.633827705766928e-05,0.0
90,LOCART,50,15000,0.0055764,5.733721085926654e-05,0.0
91,LOFOREST,50,15000,0.0077116,9.127405501411656e-05,0.0
92,tuned LOFOREST,50,15000,0.0055764,5.280212224825784e-05,0.0
93,boosting,50,15000,0.0077112,0.000127779209296,0.0
94,monte-carlo,50,15000,0.009144,0.0001036663163562,0.0
95,LR,50,15000,0.1016692000000003,2.947447818028751e-05,0.0
96,LOCART,100,1000,0.0082056,0.0005217163722023,31.9
97,LOFOREST,100,1000,0.0060148,0.000241565988239,31.9
98,tuned LOFOREST,100,1000,0.005874,0.0002558846072531,31.9
99,boosting,100,1000,0.0161123999999999,0.0006903208483026,31.9
100,monte-carlo,100,1000,0.0098375999999999,0.0003284318622379,31.9
101,LR,100,1000,0.0994192000000001,3.5873625101453734e-05,31.9
102,LOCART,100,5000,0.0055252,0.000273709426653,0.0
103,LOFOREST,100,5000,0.0086888,0.0001484440526528,0.0
104,tuned LOFOREST,100,5000,0.0055252,6.456119965180349e-05,0.0
105,boosting,100,5000,0.0109692,0.0002508233005444,0.0
106,monte-carlo,100,5000,0.0123307999999999,0.0001994860891278,0.0
107,LR,100,5000,0.0990804000000004,2.971755889839864e-05,0.0
108,LOCART,100,10000,0.0055312,9.023592136172856e-05,0.0
109,LOFOREST,100,10000,0.0081044,0.0001386739261017,0.0
110,tuned LOFOREST,100,10000,0.0055312,4.3308188971601895e-05,0.0
111,boosting,100,10000,0.0078192,0.0001766562939912,0.0
112,monte-carlo,100,10000,0.0094948,0.0001755520966095,0.0
113,LR,100,10000,0.0990880000000002,3.275534148074521e-05,0.0
114,LOCART,100,15000,0.0054892,6.107456904211431e-05,0.0
115,LOFOREST,100,15000,0.0085752,8.876985181197515e-05,0.0
116,tuned LOFOREST,100,15000,0.0054892,4.730059085973447e-05,0.0
117,boosting,100,15000,0.006448,0.0001568044624875,0.0
118,monte-carlo,100,15000,0.0099404,0.0001409956264127,0.0
119,LR,100,15000,0.0986512000000002,3.261427613791268e-05,0.0
