,Nflow
0,0.044085937500000026
1,0.05767187500000001
2,0.04834375000000002
3,0.048589843750000014
4,0.048285156250000016
5,0.04812500000000002
6,0.06325781250000001
7,0.049996093750000005
8,0.04884765625000002
9,0.048613281250000015
10,0.049589843750000015
11,0.052632812500000015
12,0.06421875000000002
13,0.04581250000000002
14,0.05148828125000001
15,0.05269531250000001
16,0.07062500000000002
17,0.08139453125
18,0.047835937500000016
19,0.04737890625000002
20,0.05355078125000001
21,0.061386718750000006
22,0.06996875
23,0.05279687500000001
24,0.04856250000000002
25,0.050523437500000025
26,0.04409765625000003
27,0.053195312500000015
28,0.05252734375000002
29,0.063390625
