,TRUST,TRUST++ MV,TRUST++ tuned,boosting,MC,K_tuned
0,0.0591171875,0.05064453125,0.0518125,0.04601953125,0.0533203125000002,0.0
1,0.0515585937500001,0.0508203125,0.0508203125,0.047265625,0.0546054687500002,0.0
2,0.0568203125,0.05734375,0.05734375,0.0473671875,0.0546132812500001,0.0
3,0.0548281250000001,0.0561875,0.0561875,0.0479375,0.0522734375000002,0.0
4,0.05739453125,0.05857421875,0.05857421875,0.04621484375,0.0533046875000002,0.0
5,0.0531015625,0.051625,0.051625,0.04984375,0.0531640625000002,0.0
6,0.05241015625,0.0562578125,0.0562578125,0.0485703125,0.0565781250000001,0.0
7,0.051765625,0.0526015625,0.0526015625,0.0439609375,0.0542265625000001,0.0
8,0.0595585937500001,0.0535820312499999,0.0535820312499999,0.04868359375,0.0550234375000002,0.0
9,0.05682421875,0.0551484375,0.0551484375,0.0428828125,0.0554804687500002,0.0
10,0.0534921875,0.05360546875,0.05360546875,0.04773046875,0.0528203125000001,0.0
11,0.05896484375,0.05183984375,0.05183984375,0.0474375,0.0539179687500002,0.0
12,0.0594062500000001,0.05306640625,0.05306640625,0.0493671875,0.0545507812500001,0.0
13,0.06157421875000012,0.055296875000000044,0.055296875000000044,0.05277343750000006,0.05224609375000019,100.0
14,0.05933203125000007,0.05362890625000004,0.05362890625000004,0.04524609375000006,0.053937500000000214,100.0
15,0.05435937500000007,0.055273437499999994,0.055273437499999994,0.050167968750000035,0.0539960937500002,100.0
16,0.06730859375000006,0.06007812500000003,0.06089843749999998,0.051550781250000066,0.05226171875000018,95.0
17,0.06187500000000004,0.05507421875000002,0.05825781250000005,0.04911328125000007,0.054414062500000165,50.0
18,0.07048046875000008,0.06025390625000004,0.06025390625000004,0.04402343750000003,0.0545117187500002,100.0
19,0.055019531250000066,0.05339062500000007,0.05339062500000007,0.051585937500000074,0.05358984375000018,100.0
20,0.058976562500000065,0.05071484375000002,0.05071484375000002,0.05182031250000007,0.05318359375000017,100.0
21,0.05230859375000006,0.050300781250000016,0.050300781250000016,0.051285156250000075,0.052414062500000205,100.0
22,0.061000000000000026,0.05971484375000007,0.061605468750000066,0.04900000000000003,0.054089843750000234,90.0
23,0.05967187500000005,0.05580468750000009,0.05580468750000009,0.04178906250000008,0.05221875000000016,100.0
24,0.05265625000000007,0.05372656250000007,0.05372656250000007,0.04980468750000003,0.05325000000000021,100.0
25,0.05823437500000011,0.05437890625000011,0.05555468750000005,0.04934375000000003,0.05327343750000019,95.0
26,0.07457812500000006,0.05841015625000009,0.05841015625000009,0.05164062500000004,0.05684375000000019,100.0
27,0.05276562500000006,0.05477343750000007,0.05477343750000007,0.042480468750000056,0.055781250000000164,100.0
28,0.05839062500000004,0.05385546875000003,0.05385546875000003,0.04831640625000007,0.05527343750000019,100.0
29,0.06376562500000009,0.055039062500000055,0.055039062500000055,0.04971875000000004,0.053636718750000194,100.0
