,Nflow
0,0.06417600000000002
1,0.07128384000000001
2,0.07421824000000002
3,0.06350400000000002
4,0.058565120000000026
5,0.07321088000000002
6,0.07408000000000002
7,0.05951168000000002
8,0.06612544000000004
9,0.04941888000000005
10,0.05179776000000003
11,0.09458496000000001
12,0.05160256000000003
13,0.04943872000000004
14,0.04852992000000004
15,0.08036608000000003
16,0.06372608000000002
17,0.06398976000000002
18,0.049143680000000044
19,0.062125440000000025
20,0.04847872000000003
21,0.06612544000000004
22,0.04941888000000005
23,0.05179776000000003
24,0.09458496000000001
25,0.05160256000000003
26,0.04943872000000004
27,0.04852992000000004
28,0.08036608000000003
29,0.06372608000000002
