,Nflow
0,0.08883776000000002
1,0.05270144000000002
2,0.11249984
3,0.04958656000000003
4,0.07871104000000002
5,0.06595712000000002
6,0.05396096000000003
7,0.11249984
8,0.04958656000000003
9,0.07871104000000002
10,0.06595712000000002
11,0.05396096000000003
12,0.11249984
13,0.04958656000000003
14,0.07871104000000002
15,0.06595712000000002
16,0.05396096000000003
17,0.11249984
18,0.04958656000000003
19,0.07871104000000002
20,0.06595712000000002
21,0.05396096000000003
22,0.11249984
23,0.04958656000000003
24,0.07871104000000002
25,0.06595712000000002
26,0.05396096000000003
27,0.11249984
28,0.04958656000000003
29,0.07871104000000002
