,Nflow
0,0.09279296000000002
1,0.08684096000000001
2,0.060363520000000025
3,0.04577728000000003
4,0.06092480000000003
5,0.06590272000000003
6,0.07907008000000001
7,0.05452416000000004
8,0.051182720000000036
9,0.06138496000000003
10,0.06612032000000002
11,0.06951296000000003
12,0.06256960000000002
13,0.06853440000000002
14,0.06350272000000003
15,0.04758208000000004
16,0.06480960000000002
17,0.05769984000000002
18,0.049969920000000036
19,0.048040960000000035
20,0.06782144000000001
21,0.07869248000000004
22,0.09004352
23,0.05527872000000004
24,0.05772864000000003
25,0.06138496000000003
26,0.06612032000000002
27,0.06951296000000003
28,0.06256960000000002
29,0.06853440000000002
