,Nflow
0,0.15311168000000003
1,0.05550912000000004
2,0.06078016000000004
3,0.05651712000000003
4,0.11410304000000003
5,0.13419520000000001
6,0.06093952000000004
7,0.06343104000000005
8,0.10218304000000003
9,0.053696640000000045
10,0.13957056
11,0.05000000000000004
12,0.059742720000000034
13,0.11126976000000002
14,0.10762112000000004
15,0.05651712000000003
16,0.11410304000000003
17,0.13419520000000001
18,0.06093952000000004
19,0.06343104000000005
20,0.10218304000000003
21,0.053696640000000045
22,0.13957056
23,0.05000000000000004
24,0.059742720000000034
25,0.11126976000000002
26,0.10762112000000004
27,0.05651712000000003
28,0.11410304000000003
29,0.13419520000000001
