,TRUST,TRUST++ MV,TRUST++ tuned,boosting,MC,K_tuned
0,0.054954545454545825,0.04914049586776897,0.048867768595041695,0.05761157024793421,0.1935785123966942,95.0
1,0.05071074380165327,0.04929752066115742,0.04929752066115742,0.05966942148760362,0.19608264462809916,100.0
2,0.05436776859504169,0.04990082644628138,0.049206611570248346,0.06130991735537226,0.19385123966942153,55.0
3,0.05410743801652933,0.049012396694215275,0.049314049586777264,0.0551239669421491,0.1912148760330579,50.0
4,0.05421487603305822,0.04959090909090949,0.04959090909090949,0.0538677685950417,0.19062809917355375,100.0
5,0.05008264462809956,0.04901652892562024,0.04901652892562024,0.05879338842975244,0.19137603305785128,100.0
6,0.051115702479339206,0.049301652892562366,0.04907851239669463,0.05363223140495899,0.1960537190082645,90.0
7,0.051537190082644964,0.0489008264462814,0.0489008264462814,0.0530991735537194,0.19089256198347104,100.0
8,0.051438016528925996,0.04919008264462849,0.04919008264462849,0.055458677685950745,0.19118595041322317,100.0
9,0.05101239669421528,0.049400826446281396,0.049400826446281396,0.06102892561983501,0.1912314049586777,100.0
10,0.05351652892562017,0.04897933884297559,0.04898347107438056,0.0538677685950417,0.1930950413223141,85.0
11,0.0528677685950417,0.04921487603305825,0.049297520661157425,0.0538677685950417,0.19355371900826449,55.0
12,0.05436776859504168,0.04895041322314089,0.04895041322314089,0.06935537190082659,0.1936322314049587,100.0
13,0.06217355371900861,0.048995867768595436,0.048995867768595436,0.055537190082644995,0.1912561983471075,100.0
14,0.049582644628099526,0.048780991735537585,0.049252066115702896,0.05750000000000033,0.19142148760330574,50.0
15,0.051462809917355724,0.04880578512396733,0.04907851239669462,0.05960330578512431,0.19356198347107434,55.0
16,0.05291735537190117,0.050400826446281376,0.04951652892562026,0.05805785123966974,0.19389256198347107,35.0
17,0.051971074380165655,0.04922314049586815,0.04935950413223178,0.0538677685950417,0.19149586776859506,95.0
18,0.05097107438016563,0.04899586776859544,0.04899586776859544,0.05550000000000035,0.19343801652892564,100.0
19,0.051847107438016904,0.04906198347107479,0.04911983471074421,0.0538677685950417,0.19146694214876034,95.0
20,0.05101652892562022,0.049123966942149155,0.04943801652892603,0.053681818181818566,0.1955661157024794,40.0
21,0.05004545454545492,0.0489090909090913,0.04897520661157065,0.05685123966942183,0.1914669421487604,90.0
22,0.05495454545454581,0.049570247933884676,0.04909504132231445,0.05303305785124006,0.1910661157024793,80.0
23,0.05329752066115737,0.04982231404958716,0.04951652892562024,0.056347107438016894,0.19330578512396696,60.0
24,0.05677272727272759,0.04951239669421527,0.04892975206611612,0.05726033057851273,0.19356611570247936,85.0
25,0.0577768595041326,0.04893801652892603,0.04911157024793429,0.05939669421487641,0.19107438016528924,85.0
26,0.05347520661157063,0.049252066115702896,0.04917355371900865,0.06233471074380197,0.19369834710743805,65.0
27,0.04905785123966981,0.049095041322314466,0.04945041322314091,0.053681818181818566,0.19421900826446278,40.0
28,0.05269008264462845,0.049822314049587174,0.04966942148760369,0.061033057851240004,0.19367355371900827,95.0
29,0.05295041322314088,0.04920247933884339,0.04923966942148802,0.05330991735537225,0.1910247933884298,95.0
