,Nflow,B,N
0,0.020074999999999982,10000,1
1,0.018564999999999984,10000,1
2,0.018125,10000,1
3,0.018104999999999993,10000,1
4,0.01844,10000,1
5,0.017069999999999995,10000,1
6,0.01616999999999999,10000,1
7,0.017299999999999986,10000,1
8,0.018890000000000004,10000,1
9,0.017119999999999996,10000,1
10,0.018615000000000003,10000,1
11,0.01705499999999999,10000,1
12,0.01739499999999998,10000,1
13,0.017239999999999985,10000,1
14,0.020824999999999972,10000,1
15,0.017894999999999998,10000,1
16,0.017144999999999994,10000,1
17,0.01736499999999999,10000,1
18,0.017619999999999997,10000,1
19,0.018944999999999976,10000,1
20,0.018264999999999983,10000,1
21,0.017524999999999985,10000,1
22,0.017119999999999996,10000,1
23,0.018615000000000003,10000,1
24,0.01705499999999999,10000,1
25,0.01739499999999998,10000,1
26,0.017239999999999985,10000,1
27,0.020824999999999972,10000,1
28,0.017894999999999998,10000,1
29,0.017144999999999994,10000,1
0,0.017084999999999982,15000,1
1,0.017525,15000,1
2,0.017584999999999983,15000,1
3,0.01893,15000,1
4,0.01674499999999999,15000,1
5,0.016379999999999992,15000,1
6,0.01791999999999998,15000,1
7,0.01745499999999998,15000,1
8,0.017194999999999995,15000,1
9,0.021514999999999968,15000,1
10,0.016614999999999987,15000,1
11,0.01669999999999999,15000,1
12,0.024109999999999968,15000,1
13,0.019439999999999985,15000,1
14,0.016834999999999992,15000,1
15,0.017404999999999983,15000,1
16,0.027724999999999958,15000,1
17,0.017924999999999996,15000,1
18,0.017924999999999996,15000,1
19,0.017924999999999996,15000,1
20,0.017924999999999996,15000,1
21,0.017924999999999996,15000,1
22,0.017924999999999996,15000,1
23,0.017924999999999996,15000,1
24,0.017924999999999996,15000,1
25,0.017924999999999996,15000,1
26,0.017924999999999996,15000,1
27,0.017924999999999996,15000,1
28,0.017924999999999996,15000,1
29,0.017924999999999996,15000,1
0,0.016959999999999992,20000,1
1,0.019400000000000004,20000,1
2,0.017284999999999995,20000,1
3,0.017869999999999983,20000,1
4,0.016559999999999988,20000,1
5,0.017265000000000003,20000,1
6,0.018805000000000002,20000,1
7,0.017284999999999995,20000,1
8,0.017869999999999983,20000,1
9,0.016559999999999988,20000,1
10,0.017265000000000003,20000,1
11,0.018805000000000002,20000,1
12,0.017284999999999995,20000,1
13,0.017869999999999983,20000,1
14,0.016559999999999988,20000,1
15,0.017265000000000003,20000,1
16,0.018805000000000002,20000,1
17,0.017284999999999995,20000,1
18,0.017869999999999983,20000,1
19,0.016559999999999988,20000,1
20,0.017265000000000003,20000,1
21,0.018805000000000002,20000,1
22,0.017284999999999995,20000,1
23,0.017869999999999983,20000,1
24,0.016559999999999988,20000,1
25,0.017265000000000003,20000,1
26,0.018805000000000002,20000,1
27,0.017284999999999995,20000,1
28,0.017869999999999983,20000,1
29,0.016559999999999988,20000,1
0,0.017174999999999985,30000,1
1,0.017739999999999995,30000,1
2,0.017189999999999997,30000,1
3,0.020650000000000005,30000,1
4,0.018115,30000,1
5,0.019549999999999977,30000,1
6,0.019445000000000004,30000,1
7,0.019170000000000006,30000,1
8,0.01697999999999999,30000,1
9,0.019629999999999977,30000,1
10,0.017945,30000,1
11,0.016569999999999994,30000,1
12,0.018514999999999997,30000,1
13,0.01738999999999999,30000,1
14,0.017604999999999992,30000,1
15,0.01697999999999999,30000,1
16,0.019629999999999977,30000,1
17,0.017945,30000,1
18,0.016569999999999994,30000,1
19,0.018514999999999997,30000,1
20,0.01738999999999999,30000,1
21,0.017604999999999992,30000,1
22,0.01697999999999999,30000,1
23,0.019629999999999977,30000,1
24,0.017945,30000,1
25,0.016569999999999994,30000,1
26,0.018514999999999997,30000,1
27,0.01738999999999999,30000,1
28,0.017604999999999992,30000,1
29,0.01697999999999999,30000,1
0,0.02385999999999997,10000,5
1,0.016149999999999987,10000,5
2,0.01701499999999998,10000,5
3,0.01761999999999999,10000,5
4,0.01824499999999999,10000,5
5,0.016244999999999992,10000,5
6,0.017079999999999994,10000,5
7,0.017954999999999995,10000,5
8,0.017679999999999998,10000,5
9,0.019059999999999987,10000,5
10,0.016434999999999998,10000,5
11,0.017364999999999988,10000,5
12,0.018135,10000,5
13,0.016969999999999992,10000,5
14,0.01681,10000,5
15,0.017399999999999992,10000,5
16,0.018475,10000,5
17,0.01674999999999999,10000,5
18,0.017269999999999994,10000,5
19,0.01742499999999999,10000,5
20,0.016969999999999992,10000,5
21,0.01681,10000,5
22,0.017399999999999992,10000,5
23,0.018475,10000,5
24,0.01674999999999999,10000,5
25,0.017269999999999994,10000,5
26,0.01742499999999999,10000,5
27,0.016969999999999992,10000,5
28,0.01681,10000,5
29,0.017399999999999992,10000,5
0,0.016834999999999992,15000,5
1,0.01712,15000,5
2,0.015779999999999985,15000,5
3,0.018650000000000003,15000,5
4,0.017689999999999977,15000,5
5,0.01642499999999998,15000,5
6,0.021909999999999968,15000,5
7,0.017455000000000002,15000,5
8,0.016404999999999993,15000,5
9,0.017874999999999988,15000,5
10,0.017689999999999994,15000,5
11,0.018329999999999985,15000,5
12,0.016359999999999996,15000,5
13,0.017874999999999988,15000,5
14,0.017689999999999994,15000,5
15,0.018329999999999985,15000,5
16,0.016359999999999996,15000,5
17,0.017874999999999988,15000,5
18,0.017689999999999994,15000,5
19,0.018329999999999985,15000,5
20,0.016359999999999996,15000,5
21,0.017874999999999988,15000,5
22,0.017689999999999994,15000,5
23,0.018329999999999985,15000,5
24,0.016359999999999996,15000,5
25,0.017874999999999988,15000,5
26,0.017689999999999994,15000,5
27,0.018329999999999985,15000,5
28,0.016359999999999996,15000,5
29,0.017874999999999988,15000,5
0,0.01629999999999999,20000,5
1,0.017960000000000004,20000,5
2,0.016079999999999983,20000,5
3,0.01744999999999998,20000,5
4,0.016614999999999984,20000,5
5,0.01908499999999997,20000,5
6,0.016814999999999983,20000,5
7,0.019019999999999985,20000,5
8,0.017855,20000,5
9,0.016979999999999985,20000,5
10,0.01997000000000001,20000,5
11,0.020705000000000008,20000,5
12,0.016474999999999997,20000,5
13,0.017999999999999988,20000,5
14,0.017525,20000,5
15,0.017734999999999997,20000,5
16,0.016769999999999993,20000,5
17,0.017960000000000004,20000,5
18,0.016079999999999983,20000,5
19,0.01744999999999998,20000,5
20,0.016614999999999984,20000,5
21,0.01908499999999997,20000,5
22,0.016814999999999983,20000,5
23,0.019019999999999985,20000,5
24,0.017855,20000,5
25,0.016979999999999985,20000,5
26,0.01997000000000001,20000,5
27,0.020705000000000008,20000,5
28,0.016474999999999997,20000,5
29,0.017999999999999988,20000,5
0,0.01736999999999998,30000,5
1,0.016124999999999997,30000,5
2,0.017079999999999988,30000,5
3,0.018960000000000008,30000,5
4,0.01674499999999999,30000,5
5,0.017544999999999998,30000,5
6,0.017429999999999973,30000,5
7,0.018775,30000,5
8,0.016664999999999982,30000,5
9,0.016834999999999996,30000,5
10,0.01705499999999998,30000,5
11,0.018549999999999997,30000,5
12,0.021824999999999973,30000,5
13,0.017479999999999996,30000,5
14,0.017124999999999987,30000,5
15,0.017319999999999985,30000,5
16,0.01895,30000,5
17,0.017319999999999985,30000,5
18,0.01895,30000,5
19,0.017319999999999985,30000,5
20,0.01895,30000,5
21,0.017319999999999985,30000,5
22,0.01895,30000,5
23,0.017319999999999985,30000,5
24,0.01895,30000,5
25,0.017319999999999985,30000,5
26,0.01895,30000,5
27,0.017319999999999985,30000,5
28,0.01895,30000,5
29,0.017319999999999985,30000,5
0,0.017764999999999993,10000,10
1,0.022019999999999998,10000,10
2,0.018579999999999996,10000,10
3,0.01788499999999999,10000,10
