,Nflow
0,0.015066666666666666
1,0.01784000000000001
2,0.017273333333333342
3,0.016993333333333305
4,0.023053333333333346
5,0.015846666666666644
6,0.015266666666666673
7,0.022180000000000016
8,0.015913333333333335
9,0.02330000000000002
10,0.018153333333333303
11,0.01511999999999998
12,0.01602666666666666
13,0.017839999999999988
14,0.015793333333333315
15,0.018273333333333343
16,0.016659999999999984
17,0.021186666666666677
18,0.015053333333333333
19,0.017053333333333323
20,0.018206666666666635
21,0.014073333333333327
22,0.023220000000000015
23,0.016839999999999987
24,0.01751333333333332
25,0.01665333333333334
26,0.017559999999999968
27,0.014113333333333318
28,0.014773333333333334
29,0.016113333333333327
